RespNum,Task,Concept,Brands,Container Size,Price,Pulp,From Concentrate,Added Vitamins,Gender,Age,OperatingSystem,Answer
5,1,1,Tropicana ,58 fl oz Carton,$3.89 ,Lots of pulp,Yes,"Multi Vitamins (A, B1, C, D, E) ",Male,35 - 44,Desktop,1
5,1,2,Local Store Brand,58 fl oz Carton,$4.59 ,Medium pulp,Yes,Vitamins D,Male,35 - 44,Desktop,0
5,1,3,Minute Made,128floz Bottle ,$6.00 ,Some pulp,No,Calcium,Male,35 - 44,Desktop,0
5,1,4,None,None,None,None,None,None,Male,35 - 44,Desktop,0
5,2,1,Minute Made,128floz Bottle ,$4.89 ,Some pulp,Yes,Vitamins D and Calcium ,Male,35 - 44,Desktop,1
5,2,2,Tropicana ,58 fl oz Carton,$4.89 ,Lots of pulp,No,"Multi B Vitamins (B , B6, B12)",Male,35 - 44,Desktop,0
5,2,3,Tropicana ,58 fl oz Carton,$3.89 ,No pulp,No,Vitamins D,Male,35 - 44,Desktop,0
5,2,4,None,None,None,None,None,None,Male,35 - 44,Desktop,0
5,3,1,Simply Orange,128floz Bottle ,$6.00 ,Medium pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Male,35 - 44,Desktop,0
5,3,2,Local Store Brand,58 fl oz Carton,$4.89 ,Some pulp,Yes,Plant Sterols ,Male,35 - 44,Desktop,0
5,3,3,Local Store Brand,128floz Bottle ,$4.89 ,Medium pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Male,35 - 44,Desktop,0
5,3,4,None,None,None,None,None,None,Male,35 - 44,Desktop,1
5,4,1,Local Store Brand,58 fl oz Carton,$3.89 ,No pulp,Yes,Vitamins D and Calcium ,Male,35 - 44,Desktop,0
5,4,2,Simply Orange,128floz Bottle ,$4.89 ,Lots of pulp,Yes,Plant Sterols ,Male,35 - 44,Desktop,1
5,4,3,Minute Made,58 fl oz Carton,$4.59 ,Some pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Male,35 - 44,Desktop,0
5,4,4,None,None,None,None,None,None,Male,35 - 44,Desktop,0
5,5,1,Minute Made,128floz Bottle ,$6.00 ,No pulp,Yes,Vitamins D,Male,35 - 44,Desktop,0
