"resp.id","ques","alt","healthy","pulp","juice","added","price","choice"
"19",1,1,1,"yes","none","fresh","vit_A","4.89",0
"12",1,1,2,"yes","lots","frozen","vit_B","3.89",1
"4",1,1,3,"yes","none","frozen","vit_A","3.89",0
"1",1,2,1,"yes","none","fresh","vit_A","3.89",0
"23",1,2,2,"yes","some","frozen","vit_A","4.89",1
"31",1,2,3,"yes","none","fresh","multi","4.89",0
"24",1,3,1,"yes","lots","frozen","vit_A","4.89",1
"17",1,3,2,"yes","some","frozen","multi","3.89",0
"51",1,3,3,"yes","lots","fresh","multi","5.89",0
"53",1,4,1,"yes","some","frozen","multi","5.89",0
"42",1,4,2,"yes","lots","frozen","vit_A","5.89",0
"7",1,4,3,"yes","none","fresh","vit_B","3.89",1
"16",1,5,1,"yes","none","frozen","multi","3.89",0
"52",1,5,2,"yes","none","frozen","multi","5.89",0
"46",1,5,3,"yes","none","frozen","vit_B","5.89",1
"49",1,6,1,"yes","none","fresh","multi","5.89",0
"20",1,6,2,"yes","some","fresh","vit_A","4.89",0
"26",1,6,3,"yes","some","fresh","vit_B","4.89",1
"28",1,7,1,"yes","none","frozen","vit_B","4.89",1
"41",1,7,2,"yes","some","frozen","vit_A","5.89",0
"13",1,7,3,"yes","none","fresh","multi","3.89",0
"34",1,8,1,"yes","none","frozen","multi","4.89",0
"48",1,8,2,"yes","lots","frozen","vit_B","5.89",0
"11",1,8,3,"yes","some","frozen","vit_B","3.89",1
"25",1,9,1,"yes","none","fresh","vit_B","4.89",0
"2",1,9,2,"yes","some","fresh","vit_A","3.89",1
"38",1,9,3,"yes","some","fresh","vit_A","5.89",0
"36",1,10,1,"yes","lots","frozen","multi","4.89",0
"18",1,10,2,"yes","lots","frozen","multi","3.89",1
"32",1,10,3,"yes","some","fresh","multi","4.89",0
"29",1,11,1,"yes","some","frozen","vit_B","4.89",1
"45",1,11,2,"yes","lots","fresh","vit_B","5.89",0
"43",1,11,3,"yes","none","fresh","vit_B","5.89",0
"54",1,12,1,"yes","lots","frozen","multi","5.89",0
"27",1,12,2,"yes","lots","fresh","vit_B","4.89",1
"21",1,12,3,"yes","lots","fresh","vit_A","4.89",0
"10",1,13,1,"yes","none","frozen","vit_B","3.89",0
"9",1,13,2,"yes","lots","fresh","vit_B","3.89",0
"6",1,13,3,"yes","lots","frozen","vit_A","3.89",1
"39",1,14,1,"yes","lots","fresh","vit_A","5.89",0
"15",1,14,2,"yes","lots","fresh","multi","3.89",1
"14",1,14,3,"yes","some","fresh","multi","3.89",0
"8",1,15,1,"yes","some","fresh","vit_B","3.89",0
"47",1,15,2,"yes","some","frozen","vit_B","5.89",1
"5",1,15,3,"yes","some","frozen","vit_A","3.89",0
"491",2,1,1,"no","none","fresh","multi","5.89",1
"411",2,1,2,"no","some","frozen","vit_A","5.89",0
